Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,True,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,0,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.757813,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,1.40625,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,1.757813,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,1.757813,2.460938
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,1.757813,2.8125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.8125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.8125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.8125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.757813,2.8125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.757813,2.8125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,1.757813,2.8125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,1.757813,2.8125
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,1.40625,2.460938
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,0.3515625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,0.3515625,2.109375
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,0,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.6484,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.6484,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.6484,2.460938
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.6484,3.515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.2969,4.21875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.2969,4.21875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.2969,4.21875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.6484,4.21875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.6484,4.21875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,P250,100,0,0,0,0,False,False,False,359.6484,4.21875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,4.21875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.2422,3.867188
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.2422,3.867188
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.2422,4.21875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.5938,3.867188
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.5938,3.515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.5938,3.515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,358.2422,3.164063
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,2.460938
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.757813
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.40625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,1.054688
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.2969,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Knife,100,0,0,0,0,False,False,False,359.6484,0
