Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,259.4531,1.757813
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,259.4531,1.757813
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,256.6406,1.757813
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,259.4531,1.757813
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,265.7813,1.757813
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,279.4922,1.757813
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,292.1484,1.757813
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,298.8281,1.054688
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,False,False,False,300.2344,0.703125
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,False,False,False,300.2344,0.703125
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,300.2344,0.703125
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,300.2344,0.703125
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,300.2344,0.703125
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,299.5313,0.703125
SK.xelos4s ;E,CounterTerrorist,2361,2200,126.8168,USP,100,0,0,0,0,True,False,False,299.5313,0.703125
