Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,189.8437,1.757813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,188.4375,1.757813
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,204.6094,359.2969
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,201.4453,357.8906
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,199.6875,357.1875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,198.9844,356.8359
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,198.9844,356.8359
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,199.3359,357.1875
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,200.0391,357.5391
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,206.3672,358.9453
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,216.5625,1.40625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,220.4297,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,220.4297,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,220.4297,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,220.4297,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,220.4297,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,222.5391,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,228.1641,3.867188
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,234.8437,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,240.8203,5.976563
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Glock,100,0,0,0,0,False,False,False,242.2266,5.273438
