Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2361,2200,127.2175,Flash,100,100,0,0,0,False,True,False,70.66406,23.90625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,71.01563,28.47656
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,71.01563,31.28906
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,299.1797,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,296.3672,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,284.4141,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.7344,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.7344,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.7344,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,277.3828,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,279.1406,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,279.1406,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,279.1406,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,279.1406,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,260.5078,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,206.0156,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,165.2344,5.625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,162.0703,3.515625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,162.0703,3.515625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,162.0703,3.515625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,162.0703,3.515625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,159.6094,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,156.4453,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,156.0938,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,156.0938,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,156.0938,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,156.7969,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.921875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,157.1484,4.570313
