Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,22.5,6.679688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,22.5,6.328125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,22.5,6.328125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,22.5,6.328125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,0,0,0,0,False,False,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Flash,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Smoke,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Smoke,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Smoke,100,100,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Smoke,100,100,0,0,0,False,True,False,289.6875,0
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Smoke,100,100,0,0,0,False,True,False,280.1953,2.460938
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Smoke,100,100,0,0,0,False,True,False,276.6797,9.492188
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Smoke,100,100,0,0,0,False,True,False,272.4609,14.41406
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Smoke,100,100,0,0,0,False,True,False,268.2422,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,267.5391,11.60156
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,272.4609,10.89844
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,272.4609,10.89844
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,272.4609,10.89844
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,272.4609,10.54688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,272.1094,10.19531
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Glock,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,272.4609,9.84375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,271.7578,8.789063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,271.7578,8.789063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,AK47,100,100,0,0,0,False,True,False,271.7578,8.789063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,272.1094,9.140625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,275.2734,11.25
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,271.0547,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,262.6172,11.25
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,260.5078,10.54688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,264.0234,9.492188
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,HE,100,100,0,0,0,False,True,False,267.1875,9.84375
