Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,353.3203,29.88281
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,353.3203,29.88281
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,292.1484,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,291.0938,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,288.6328,1.054688
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,287.2266,1.757813
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,286.1719,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Knife,100,95,0,0,0,False,True,False,285.8203,2.109375
