Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,243.9844,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,243.9844,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,243.6328,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,243.6328,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,243.6328,2.109375
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,243.6328,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,243.6328,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.460938
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.3359,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,244.6875,2.8125
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,245.0391,3.164063
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,246.7969,3.867188
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,248.5547,5.273438
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.2578,5.625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.2578,5.625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.2578,5.625
PnX | CSGOmall.com,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,False,True,249.6094,5.976563
