Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,185.625,7.03125
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,185.625,7.03125
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,185.625,7.03125
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Bomb,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,0,0,0,0,False,False,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,AK47,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,309.0234,359.6484
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,292.5,3.164063
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,274.9219,8.4375
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,271.0547,13.00781
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,274.2188,20.39063
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,277.0313,26.71875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,278.4375,27.42188
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,279.1406,26.71875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,Knife,100,100,0,0,0,False,True,False,280.5469,23.90625
