Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,70.3125,357.8906
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,69.96094,357.8906
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,69.96094,357.8906
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,306.9141,0
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,276.3281,0
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.5859,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
[R] NillE ;-),Terrorist,-1612,595,-59.96875,Glock,100,0,0,0,0,False,False,False,255.2344,0.3515625
