Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.7188,359.6484
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.7188,359.6484
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.7188,359.6484
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.7188,359.6484
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,295.6641,359.6484
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,289.6875,359.6484
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,274.9219,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,261.2109,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,251.0156,2.109375
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,248.2031,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Flash,100,100,0,0,0,False,True,False,249.9609,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Flash,100,100,0,0,0,False,True,False,257.6953,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,270.3516,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,280.1953,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,283.0078,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,283.0078,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,283.0078,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,283.0078,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,283.0078,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,283.0078,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,283.3594,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,283.7109,1.40625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,284.0625,1.40625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,284.0625,1.40625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,284.4141,1.40625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,284.4141,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,284.7656,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,284.7656,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,284.7656,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.1172,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.1172,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.1172,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.1172,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.4688,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.4688,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.4688,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.4688,1.757813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,285.8203,2.109375
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,286.5234,2.460938
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,288.6328,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,291.4453,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,292.5,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,292.5,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,292.5,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,292.5,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,292.5,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,292.5,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,292.5,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,292.8516,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,293.9063,4.570313
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,294.9609,4.570313
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.0156,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.3672,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.3672,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.3672,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,295.3125,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,294.9609,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,295.3125,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,295.3125,3.867188
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,295.6641,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.3672,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.7188,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.0703,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.4219,2.8125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.4219,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.4219,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.4219,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.7734,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.7734,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,298.125,3.164063
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,298.4766,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,298.8281,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.1797,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.8828,3.515625
