Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2340.329,1652.874,160.0313,USP,100,0,2.725456,-70.33323,0,False,False,False,182.1094,359.6484
SK.xelos4s ;E,CounterTerrorist,2340.469,1649.269,160.0313,USP,100,0,1.854221,-47.8501,0,False,False,False,181.7578,359.6484
SK.xelos4s ;E,CounterTerrorist,2340.553,1647.069,160.0313,USP,100,0,0.9829863,-25.36697,0,False,False,False,181.7578,359.6484
SK.xelos4s ;E,CounterTerrorist,2340.584,1646.274,160.0313,USP,100,0,0.111751,-2.883849,0,False,False,False,181.4063,359.6484
SK.xelos4s ;E,CounterTerrorist,2340.584,1646.274,160.0313,USP,100,0,0,0,0,False,False,False,181.4063,359.6484
SK.xelos4s ;E,CounterTerrorist,2340.632,1644.439,160.0313,USP,100,0,1.454367,-56.60631,0,False,False,False,181.4063,359.6484
SK.xelos4s ;E,CounterTerrorist,2340.784,1638.803,160.0313,USP,100,0,3.418365,-114.4795,0,False,False,False,182.4609,0
SK.xelos4s ;E,CounterTerrorist,2340.701,1630.186,160.0313,USP,100,0,-15.26897,-151.8724,0,False,False,False,196.875,0.3515625
SK.xelos4s ;E,CounterTerrorist,2339.181,1619.585,160.0313,USP,100,0,-22.86422,-183.3244,0,False,False,False,233.4375,2.460938
SK.xelos4s ;E,CounterTerrorist,2337.974,1607.273,160.0313,USP,100,0,-17.46889,-207.1777,0,False,False,False,278.0859,4.21875
SK.xelos4s ;E,CounterTerrorist,2338.157,1593.879,160.0313,USP,100,0,21.82184,-217.0457,0,False,False,False,306.2109,3.164063
SK.xelos4s ;E,CounterTerrorist,2340.937,1580.247,160.0313,USP,100,0,60.38243,-218.8396,0,False,False,False,306.9141,2.8125
SK.xelos4s ;E,CounterTerrorist,2345.753,1566.522,160.0313,USP,100,0,88.78992,-220.1568,0,False,False,False,306.9141,2.8125
SK.xelos4s ;E,CounterTerrorist,2351.992,1552.897,160.0313,USP,100,0,106.7904,-214.9321,0,False,False,False,306.9141,2.8125
SK.xelos4s ;E,CounterTerrorist,2359.425,1540.022,160.0313,USP,100,0,135.5014,-190.129,0,False,False,False,306.5625,2.8125
SK.xelos4s ;E,CounterTerrorist,2369.254,1529.528,160.0313,USP,100,0,172.5373,-152.3216,0,False,False,False,305.8594,2.109375
SK.xelos4s ;E,CounterTerrorist,2381.056,1521.146,160.0313,USP,100,0,200.3491,-120.6647,0,False,False,False,309.375,1.40625
SK.xelos4s ;E,CounterTerrorist,2394.327,1514.505,160.0313,USP,100,0,220.0132,-95.88641,0,False,False,False,309.0234,1.40625
SK.xelos4s ;E,CounterTerrorist,2408.364,1509.229,160.0313,USP,100,0,227.3732,-76.82069,0,False,False,False,306.9141,1.757813
SK.xelos4s ;E,CounterTerrorist,2422.718,1504.879,160.0313,USP,100,0,231.2029,-64.38328,0,False,False,False,307.2656,3.515625
SK.xelos4s ;E,CounterTerrorist,2436.573,1499.324,160.0313,USP,100,0,215.0063,-106.0902,0,False,False,False,307.2656,3.515625
SK.xelos4s ;E,CounterTerrorist,2449.444,1491.641,160.0313,USP,100,0,198.9344,-134.2577,0,False,False,False,307.2656,3.515625
SK.xelos4s ;E,CounterTerrorist,2461.374,1482.558,160.0313,USP,100,0,185.0626,-152.813,0,False,False,False,307.2656,3.515625
SK.xelos4s ;E,CounterTerrorist,2472.544,1472.55,160.0313,USP,100,0,174.2324,-165.0547,0,False,False,False,307.6172,3.164063
SK.xelos4s ;E,CounterTerrorist,2483.161,1461.956,160.0313,USP,100,0,166.9017,-172.464,0,False,False,False,308.3203,1.40625
SK.xelos4s ;E,CounterTerrorist,2493.402,1450.997,160.0313,USP,100,0,161.6919,-177.3576,0,False,False,False,307.9688,0.703125
SK.xelos4s ;E,CounterTerrorist,2503.363,1439.782,160.0313,USP,100,0,157.7566,-180.8669,0,False,False,False,307.6172,0.703125
SK.xelos4s ;E,CounterTerrorist,2513.118,1428.388,160.0313,USP,100,0,154.9191,-183.3032,0,False,False,False,307.6172,0.703125
SK.xelos4s ;E,CounterTerrorist,2522.73,1416.873,160.0313,USP,100,0,153.0797,-184.8421,0,False,False,False,308.3203,0.703125
SK.xelos4s ;E,CounterTerrorist,2532.253,1405.283,160.0313,USP,100,0,151.8359,-185.8652,0,False,False,False,307.9688,1.40625
SK.xelos4s ;E,CounterTerrorist,2541.704,1393.635,160.0313,USP,100,0,150.7111,-186.7784,0,False,False,False,307.6172,1.757813
SK.xelos4s ;E,CounterTerrorist,2550.997,1381.861,160.0313,USP,100,0,145.5869,-190.7995,0,False,False,False,298.125,1.757813
SK.xelos4s ;E,CounterTerrorist,2559.307,1369.391,160.0313,USP,100,0,118.5616,-208.332,0,False,False,False,266.4844,0.703125
SK.xelos4s ;E,CounterTerrorist,2564.784,1355.817,160.0313,USP,100,0,60.60246,-221.4587,0,False,False,False,238.711,359.6484
SK.xelos4s ;E,CounterTerrorist,2566.406,1341.918,160.0313,USP,100,0,1.072375,-222.6249,0,False,False,False,233.0859,0
SK.xelos4s ;E,CounterTerrorist,2564.837,1327.991,160.0313,USP,100,0,-43.48471,-222.9751,0,False,False,False,233.0859,0
SK.xelos4s ;E,CounterTerrorist,2560.914,1314.046,160.0313,USP,100,0,-76.3035,-223.2331,0,False,False,False,233.0859,0
SK.xelos4s ;E,CounterTerrorist,2555.3,1300.187,160.0313,USP,100,0,-98.51164,-218.8503,0,False,False,False,233.0859,0
SK.xelos4s ;E,CounterTerrorist,2548.617,1286.76,160.0313,USP,100,0,-112.6636,-211.9125,0,False,False,False,233.0859,359.6484
