Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,True,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,True,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,True,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.6016,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,191.9531,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,191.9531,357.8906
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.9531,357.8906
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.9531,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.9531,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.6016,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.6016,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.6016,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.6016,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,True,False,False,191.6016,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,True,False,False,191.6016,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,191.6016,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.25,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.25,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.25,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.25,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.25,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.25,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,True,False,False,191.25,358.2422
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.8984,358.5938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.8984,358.5938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.5938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,190.5469,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,192.6563,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,192.6563,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,191.6016,359.2969
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,188.4375,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,180.3516,3.515625
