Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,356.8359,10.89844
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,356.8359,10.89844
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,356.8359,10.89844
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,356.8359,10.89844
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,21.79688,11.95313
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,56.60156,8.4375
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,72.42188,3.164063
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,76.64063,359.6484
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,75.9375,0.3515625
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,76.64063,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,78.04688,2.460938
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,78.39844,2.460938
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,81.21094,2.109375
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,85.07813,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,85.42969,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,85.42969,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,85.42969,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,85.42969,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,85.42969,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,85.42969,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,85.42969,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,87.1875,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,108.9844,0.703125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,131.4844,358.2422
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,138.5156,355.0781
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,138.1641,354.0234
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,138.1641,354.0234
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,139.2188,358.5938
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,143.4375,11.95313
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,149.0625,32.69531
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,153.9844,55.89844
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,159.6094,74.88281
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,163.8281,81.5625
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,161.3672,80.85938
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,161.3672,80.50781
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,161.3672,80.50781
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,161.3672,80.50781
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,160.3125,80.85938
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,166.9922,79.45313
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,190.1953,70.3125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,215.5078,55.54688
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,231.6797,41.48438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,238.0078,33.04688
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,239.4141,30.23438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,239.0625,30.9375
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,238.0078,31.99219
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,235.1953,31.28906
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,226.7578,29.53125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,220.0781,27.77344
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,217.6172,26.71875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,216.5625,26.01563
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,215.1563,25.66406
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,210.2344,23.55469
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,202.8516,21.44531
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,195.8203,19.33594
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,191.6016,17.57813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,188.789,16.17188
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Glock,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,98,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,187.3828,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,168.75,11.95313
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,143.0859,15.46875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,99.84375,18.63281
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,54.14063,17.57813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,41.83594,16.875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,41.83594,16.875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,41.83594,16.875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,41.83594,16.875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,41.83594,16.875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,41.83594,16.875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,42.53906,17.22656
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,33.75,16.17188
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,7.03125,16.17188
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,334.6875,12.30469
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,315.7031,6.328125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,309.0234,2.8125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,309.375,2.8125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,309.375,2.8125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,309.375,2.8125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,311.1328,2.460938
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,319.5703,359.2969
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,317.1094,357.8906
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,299.5313,359.6484
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,269.6484,2.8125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,238.3594,4.21875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,213.0469,4.21875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,198.2813,4.921875
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,AK47,100,100,0,0,0,False,True,False,195.1172,5.273438
