Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,90,1.757813
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,90,1.757813
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.34375,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,33.04688,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,33.04688,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.69531,0.3515625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.69531,0.3515625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.69531,0.3515625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,32.69531,0.3515625
