Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,1515.573,1059.842,153.6703,USP,100,0,47.13414,-46.26011,0,False,False,False,246.7969,2.109375
[R] NillE ;-),CounterTerrorist,1520.022,1056.57,154.322,USP,100,0,64.77496,-46.79148,0,False,False,False,246.7969,2.109375
[R] NillE ;-),CounterTerrorist,1520.868,1055.35,154.4898,USP,100,0,-19.97844,1.6114,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1517.669,1056.428,154.2557,USP,100,0,-75.65239,28.52531,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1512.992,1058.226,153.8134,USP,100,0,-41.50097,14.96649,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1513.463,1057.95,153.872,USP,100,0,36.36132,-15.91529,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1517.043,1056.399,154.2365,USP,100,0,44.55738,-19.32233,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1516.793,1056.5,154.2121,USP,100,0,-32.57547,13.94269,0,False,False,False,246.7969,2.8125
[R] NillE ;-),CounterTerrorist,1512.775,1058.216,153.8067,USP,100,0,-88.45171,37.73053,0,False,False,False,246.7969,2.8125
[R] NillE ;-),CounterTerrorist,1505.61,1061.268,153.085,USP,100,0,-133.0493,56.6143,0,False,False,False,247.1484,2.8125
[R] NillE ;-),CounterTerrorist,1497.039,1064.913,152.2225,USP,100,0,-110.391,46.95772,0,False,False,False,247.1484,2.8125
[R] NillE ;-),CounterTerrorist,1493.766,1066.307,151.8929,USP,100,0,-9.202847,3.937867,0,False,False,False,246.7969,2.8125
[R] NillE ;-),CounterTerrorist,1495.501,1065.563,152.0684,USP,100,0,52.48824,-22.51916,0,False,False,False,246.7969,2.8125
[R] NillE ;-),CounterTerrorist,1500.701,1063.311,152.5977,USP,100,0,105.3168,-46.02633,0,False,False,False,245.7422,2.8125
[R] NillE ;-),CounterTerrorist,1508.725,1059.747,153.4276,USP,100,0,144.5398,-64.82684,0,False,False,False,245.0391,3.164063
[R] NillE ;-),CounterTerrorist,1518.152,1054.572,154.5493,USP,100,0,145.6472,-104.1671,0,False,False,False,244.6875,3.164063
[R] NillE ;-),CounterTerrorist,1526.731,1046.509,155.8154,USP,100,0,131.1651,-146.5128,0,False,False,False,243.2813,3.515625
[R] NillE ;-),CounterTerrorist,1534.45,1036.203,157.3452,USP,100,0,111.7851,-177.3525,0,False,False,False,243.2813,3.515625
[R] NillE ;-),CounterTerrorist,1537.828,1026.586,158.7728,USP,100,0,14.52588,-123.5061,0,False,False,False,243.2813,3.515625
[R] NillE ;-),CounterTerrorist,1536.174,1021.276,159.5609,USP,100,0,-55.25029,-57.92633,0,False,False,False,243.6328,3.515625
[R] NillE ;-),CounterTerrorist,1530.827,1019.416,159.8253,USP,100,0,-106.8914,-10.1215,0,False,False,False,243.9844,3.515625
[R] NillE ;-),CounterTerrorist,1522.735,1020.047,159.7434,USP,100,0,-145.3893,24.13305,0,False,False,False,245.0391,3.515625
[R] NillE ;-),CounterTerrorist,1512.568,1022.169,159.1497,USP,100,0,-175.5266,28.61832,0,False,False,False,245.3906,3.164063
[R] NillE ;-),CounterTerrorist,1500.761,1022.725,157.8095,USP,100,0,-198.2537,-5.083045,0,False,False,False,246.0938,3.164063
[R] NillE ;-),CounterTerrorist,1488.889,1020.299,155.6024,USP,100,0,-180.0745,-66.7669,0,False,False,False,246.0938,3.164063
[R] NillE ;-),CounterTerrorist,1478.887,1014.28,153.7741,USP,100,0,-132.055,-117.3584,0,False,False,False,246.0938,3.164063
[R] NillE ;-),CounterTerrorist,1472.889,1005.554,152.6984,USP,100,0,-70.66353,-155.2413,0,False,False,False,246.0938,3.164063
[R] NillE ;-),CounterTerrorist,1470.129,994.825,152.1809,USP,100,0,-25.60032,-183.204,0,False,False,False,245.7422,3.164063
[R] NillE ;-),CounterTerrorist,1469.73,982.612,152.0909,USP,100,0,6.983892,-204.0298,0,False,False,False,245.0391,3.164063
[R] NillE ;-),CounterTerrorist,1471.002,969.288,152.0277,USP,100,0,29.50118,-219.6642,0,False,False,False,244.3359,3.515625
[R] NillE ;-),CounterTerrorist,1473.43,955.1187,151.8139,USP,100,0,45.09742,-231.7576,0,False,False,False,242.9297,3.515625
[R] NillE ;-),CounterTerrorist,1476.58,940.4788,151.7133,USP,100,0,53.41188,-233.9811,0,False,False,False,241.875,3.515625
[R] NillE ;-),CounterTerrorist,1480.065,925.8892,151.6777,USP,100,0,57.17402,-233.0904,0,False,False,False,240.8203,3.515625
[R] NillE ;-),CounterTerrorist,1483.132,911.3076,150.9639,USP,100,0,29.98344,-234.1355,0,False,False,False,239.4141,3.164063
[R] NillE ;-),CounterTerrorist,1483.311,896.6231,149.3487,USP,100,0,-16.46853,-235.3383,0,False,False,False,237.6563,2.8125
[R] NillE ;-),CounterTerrorist,1480.959,881.9302,147.5797,USP,100,0,-52.71612,-234.1389,0,False,False,False,235.8984,2.109375
[R] NillE ;-),CounterTerrorist,1476.721,867.5487,145.8729,USP,100,0,-78.16319,-226.9152,0,False,False,False,235.8984,2.109375
[R] NillE ;-),CounterTerrorist,1471.412,854.0247,144.4353,MP7,100,0,-85.99498,-202.4966,0,False,False,False,235.8984,2.109375
[R] NillE ;-),CounterTerrorist,1465.61,841.5606,143.1725,MP7,100,0,-97.51303,-197.2085,0,False,False,False,235.8984,2.109375
[R] NillE ;-),CounterTerrorist,1459.223,829.3849,141.9004,MP7,100,0,-105.3611,-193.1296,0,False,False,False,235.8984,2.109375
[R] NillE ;-),CounterTerrorist,1452.435,817.4279,140.6692,MP7,100,0,-111.0972,-189.8879,0,False,False,False,234.4922,1.757813
[R] NillE ;-),CounterTerrorist,1445.265,805.6964,139.4335,MP7,100,0,-117.7608,-185.8289,0,False,False,False,231.3281,1.757813
