Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,2336.323,1928.853,125.9348,Knife,100,98,-174.0436,-112.9406,0,False,True,False,202.1484,9.84375
PnX | CSGOmall.com,Terrorist,2326.337,1920.184,126.6479,Knife,100,98,-147.4186,-157.4499,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2316.577,1910.053,127.3115,Knife,100,98,-167.3636,-161.939,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2305.383,1899.942,127.7062,Knife,100,98,-187.3636,-161.6611,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2293.333,1890.008,127.6009,Knife,100,98,-195.2967,-156.0743,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2280.982,1880.438,127.5382,Knife,100,98,-199.1712,-151.0987,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2268.437,1871.124,127.4832,Knife,100,98,-201.804,-147.5641,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2255.756,1861.996,127.3428,Knife,100,98,-203.6517,-145.0034,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2244.558,1854.151,127.2249,Knife,100,98,-207.5954,-139.2989,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2229.028,1846.717,127.0208,Knife,100,98,-230.3545,-81.79549,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2216.02,1843.246,126.8923,Knife,100,98,-241.7734,-57.13517,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2199.238,1838.062,126.7002,Knife,100,98,-235.0972,-85.02547,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2184.782,1832.141,126.4809,Knife,100,98,-228.5106,-101.4047,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2170.694,1825.386,126.4299,Knife,100,98,-223.1866,-112.64,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2156.891,1818.065,127.5451,Knife,100,98,-219.2225,-120.1728,0,False,True,False,213.3984,4.921875
PnX | CSGOmall.com,Terrorist,2144.864,1811.613,128.023,Knife,100,98,-224.596,-106.2628,0,False,True,False,213.75,5.273438
PnX | CSGOmall.com,Terrorist,2128.331,1806.057,128.4345,Knife,100,98,-242.7073,-59.93518,0,False,True,False,215.1563,5.273438
PnX | CSGOmall.com,Terrorist,2112.94,1803.418,127.8232,Knife,100,98,-248.1825,-30.09068,0,False,True,False,215.5078,5.273438
PnX | CSGOmall.com,Terrorist,2097.358,1802.32,129.1842,Knife,100,98,-249.8407,-8.923217,0,False,True,False,215.5078,5.625
PnX | CSGOmall.com,Terrorist,2081.734,1802.286,132.8828,Knife,100,98,-249.9532,4.834721,0,False,True,False,217.6172,5.625
PnX | CSGOmall.com,Terrorist,2068.07,1802.729,136.1176,Knife,100,98,-249.8167,9.571916,0,False,True,False,221.1328,5.625
PnX | CSGOmall.com,Terrorist,2052.455,1803.28,139.0755,Knife,100,98,-249.8884,7.468571,0,False,True,False,226.4063,5.625
PnX | CSGOmall.com,Terrorist,2036.832,1803.484,141.7764,Knife,100,98,-249.9988,-0.7803398,0,False,True,False,231.6797,5.273438
PnX | CSGOmall.com,Terrorist,2019.265,1802.933,146.7072,Knife,100,98,-249.6191,-13.79558,0,False,True,False,235.8984,4.921875
PnX | CSGOmall.com,Terrorist,2003.696,1801.633,151.5431,Knife,100,98,-248.6256,-26.17867,0,False,True,False,238.711,4.570313
