Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1390.337,194.4843,-55.55211,Knife,100,0,238.1221,65.85997,0,False,False,False,21.09375,5.273438
SK.xelos4s ;E,Terrorist,-1389.99,200.5367,-55.46532,Knife,100,0,12.88588,118.6191,0,False,False,False,21.09375,5.273438
SK.xelos4s ;E,Terrorist,-1387.726,208.0209,-47.96875,Knife,100,0,62.58462,0,0,False,False,False,21.09375,5.273438
SK.xelos4s ;E,Terrorist,-1381.819,208.0209,-47.96875,Knife,100,0,117.358,0,0,False,False,False,21.09375,5.273438
SK.xelos4s ;E,Terrorist,-1372.984,208.8145,-47.96875,Knife,100,0,158.2075,24.46121,0,False,False,False,21.09375,5.273438
SK.xelos4s ;E,Terrorist,-1361.991,211.1147,-47.96875,Knife,100,0,188.2954,45.46856,0,False,False,False,21.09375,5.273438
SK.xelos4s ;E,Terrorist,-1349.409,214.5247,-47.96875,Knife,100,0,210.4568,60.94167,0,False,False,False,21.09375,5.273438
SK.xelos4s ;E,Terrorist,-1335.66,218.7613,-47.96875,Knife,100,0,226.5671,72.88215,0,False,False,False,22.14844,4.570313
SK.xelos4s ;E,Terrorist,-1321.216,223.8678,-47.96875,Knife,100,0,227.0294,95.24746,0,False,False,False,27.42188,3.515625
SK.xelos4s ;E,Terrorist,-1308.501,231.6256,-47.96875,Knife,100,0,185.3929,144.7627,0,False,False,False,34.45313,3.515625
SK.xelos4s ;E,Terrorist,-1298.317,242.0663,-47.96875,Knife,100,0,145.9658,182.8537,0,False,False,False,40.07813,3.164063
SK.xelos4s ;E,Terrorist,-1290.464,254.5434,-47.96875,Knife,100,0,110.6581,211.4441,0,False,False,False,43.94531,3.164063
SK.xelos4s ;E,Terrorist,-1284.64,268.5344,-47.96875,Knife,100,0,80.28284,232.5606,0,False,False,False,47.10937,3.164063
SK.xelos4s ;E,Terrorist,-1280.547,283.558,-47.96875,Knife,100,0,54.5279,243.981,0,False,False,False,47.8125,3.164063
SK.xelos4s ;E,Terrorist,-1277.251,298.8243,-51.27053,Knife,100,0,65.65194,241.2257,0,False,False,False,46.75781,2.8125
SK.xelos4s ;E,Terrorist,-1271.858,313.4742,-55.96875,Knife,100,0,101.0014,228.6891,0,False,False,False,43.94531,2.460938
