Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,50.625,3.515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,50.27344,3.867188
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,3.164063,359.6484
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,3.164063,359.6484
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,3.164063,359.6484
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,3.164063,359.6484
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,3.164063,359.6484
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,4.570313,0
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.328125,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.3515625
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.703125
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.703125
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.703125
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,0.703125
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,1.054688
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,1.054688
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,1.054688
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,1.054688
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,1.054688
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Bomb,100,0,0,0,0,False,False,False,6.679688,1.054688
