Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,168.0469,359.6484
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,167.3438,359.6484
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,167.3438,359.6484
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,167.3438,359.6484
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,359.6484
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,0
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,0
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,0
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,0
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,0
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,0
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,0
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.7969,0.3515625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
SK.xelos4s ;E,Terrorist,-1547,560,-59.96875,AK47,100,89,0,0,0,False,True,False,291.4453,1.40625
