Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,308.3203,2.460938
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,301.6406,1.054688
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,357.8906,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,353.6719,358.2422
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,352.6172,357.8906
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,352.6172,357.8906
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,353.3203,358.2422
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,355.0781,358.5938
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,353.6719,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,AK47,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
PnX | CSGOmall.com,Terrorist,-1668,471,-63.96875,Knife,100,89,0,0,0,False,True,False,352.6172,358.9453
