Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,58.35937,4.921875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,60.82031,3.515625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,64.6875,359.6484
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,62.22656,358.5938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,61.52344,358.5938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,61.52344,358.5938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,61.875,358.5938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,62.22656,359.6484
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,62.92969,0.703125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,63.28125,1.757813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,63.63281,3.164063
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,63.63281,3.867188
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,63.63281,3.867188
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,63.63281,3.867188
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.63281,3.867188
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.63281,4.21875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.63281,4.570313
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.63281,4.921875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.98437,5.273438
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.98437,5.625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.98437,5.625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.98437,5.625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.98437,5.625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,63.98437,5.976563
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,Knife,100,95,0,0,0,False,True,False,61.875,6.679688
