Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,169.4531,9.140625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,168.75,9.492188
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,159.9609,11.25
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,149.4141,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,149.0625,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,149.0625,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,149.0625,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,149.0625,13.71094
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,148.3594,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,146.9531,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.6016,13.35938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,146.25,13.00781
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,145.1953,12.65625
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Smoke,100,0,0,0,0,False,False,False,143.7891,12.30469
