Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.8256,USP,100,0,0,0,0,False,False,False,276.3281,10.89844
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,270.3516,10.54688
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,268.9453,10.54688
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,268.9453,10.54688
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,268.9453,10.54688
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,268.9453,10.54688
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,144.8438,0
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,144.8438,0
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,144.8438,0
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,144.8438,0
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,144.8438,0
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,144.8438,0
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,145.1953,0.3515625
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,145.1953,0.3515625
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,145.1953,0.3515625
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,145.8984,0.3515625
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,145.8984,0.3515625
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,144.8438,359.6484
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,144.1406,359.2969
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,144.1406,358.9453
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,143.7891,358.9453
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,143.4375,358.5938
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,143.4375,358.5938
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,143.4375,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,143.0859,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,143.0859,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,143.0859,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,143.0859,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,142.7344,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,142.3828,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,142.3828,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,False,False,False,142.3828,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,142.3828,358.2422
SK.xelos4s ;E,CounterTerrorist,2440,2032,123.4813,USP,100,0,0,0,0,True,False,False,142.7344,358.5938
