Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,164.1797,2.109375
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,164.1797,2.460938
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,164.5313,2.460938
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,164.5313,2.460938
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.4219,0
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.4219,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.4219,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.4219,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.7734,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.7734,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.7734,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.7734,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.7734,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,117.7734,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,114.6094,0.3515625
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,103.0078,1.054688
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,93.16406,0.703125
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,90.70313,0
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,90.70313,0
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.64844,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.64844,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.64844,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.64844,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.64844,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.64844,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.29688,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.29688,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.29688,359.6484
device ;M;,CounterTerrorist,2361,2008,126.0593,USP,100,0,0,0,0,False,False,False,89.29688,359.6484
