Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,191.6016,11.25
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,191.6016,11.25
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,313.2422,0.3515625
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,312.8906,0.703125
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,312.5391,1.054688
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,312.1875,1.757813
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,311.1328,2.8125
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,308.6719,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,305.8594,4.921875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,302.6953,4.921875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,299.1797,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
PnX | CSGOmall.com,Terrorist,-1612,595,-59.96875,USP,100,68,0,0,0,False,True,False,298.8281,4.21875
