Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Glock,100,0,0,0,0,False,False,False,68.90625,356.8359
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Glock,100,0,0,0,0,False,False,False,357.5391,359.6484
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Glock,100,0,0,0,0,False,False,False,352.6172,0.703125
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Glock,100,0,0,0,0,False,False,False,348.3984,3.164063
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Glock,100,0,0,0,0,False,False,False,345.2344,4.570313
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Glock,100,0,0,0,0,False,False,False,344.5313,4.570313
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Glock,100,0,0,0,0,False,False,False,344.1797,4.570313
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Glock,100,0,0,0,0,False,False,False,343.125,4.21875
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,341.7188,4.570313
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,341.3672,5.273438
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,342.7734,5.976563
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,343.8281,5.625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,343.8281,5.625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,343.8281,5.625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,343.8281,5.976563
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,342.7734,5.976563
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,342.0703,5.976563
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,342.0703,5.625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,341.3672,4.921875
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,340.6641,4.570313
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,0,0,0,0,False,False,False,339.9609,4.21875
