Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,824.9809,-36.88724,85.02361,AK47,100,100,204.3986,66.67986,0,False,True,False,92.10938,3.867188
PnX | CSGOmall.com,Terrorist,837.9322,-33.31549,85.02361,AK47,100,100,208.1291,53.91902,0,False,True,False,92.8125,3.515625
PnX | CSGOmall.com,Terrorist,848.9646,-29.32098,84.89734,AK47,100,100,196.7053,86.68692,0,False,True,False,97.73438,3.515625
PnX | CSGOmall.com,Terrorist,862.0709,-21.82824,84.52271,AK47,100,100,177.832,120.8337,0,False,True,False,102.3047,3.515625
PnX | CSGOmall.com,Terrorist,872.66,-13.56501,84.57256,AK47,100,100,163.9505,139.0872,0,False,True,False,97.38281,3.164063
PnX | CSGOmall.com,Terrorist,881.1695,-3.797106,85.23272,AK47,100,100,117.9987,168.4244,0,False,True,False,89.64844,1.757813
PnX | CSGOmall.com,Terrorist,886.7817,6.040267,96.9028,AK47,100,100,92.34953,187.7316,0,False,True,False,87.53906,0
PnX | CSGOmall.com,Terrorist,891.7462,18.37334,103.1124,AK47,100,100,69.85747,203.3345,0,False,True,False,88.59375,358.9453
PnX | CSGOmall.com,Terrorist,893.8204,29.39468,108.3065,AK47,100,100,14.13718,198.9439,0,False,True,False,90,358.9453
PnX | CSGOmall.com,Terrorist,892.5957,38.53761,112.1726,AK47,100,100,-37.03352,0.02773258,0,False,True,False,90.35156,359.2969
PnX | CSGOmall.com,Terrorist,889.7584,38.53973,132.0412,AK47,100,100,-39.2171,0.02936774,267.6184,False,True,False,89.64844,0.3515625
PnX | CSGOmall.com,Terrorist,887.6235,38.54133,145.4803,AK47,100,100,-38.88709,0.02912062,223.8684,False,True,False,89.29688,0.703125
PnX | CSGOmall.com,Terrorist,885.2082,38.54313,157.9096,AK47,100,100,-38.45178,0.02879463,173.8684,False,True,False,89.29688,0.703125
PnX | CSGOmall.com,Terrorist,882.8203,38.54492,167.2139,AK47,100,100,-38.06826,0.02850744,123.8684,False,True,False,89.29688,0.703125
