Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Bizon,100,100,0,0,0,False,True,False,349.8047,5.625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Bizon,100,100,0,0,0,False,True,False,349.8047,5.625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Bizon,100,100,0,0,0,False,True,False,349.8047,5.625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Bizon,100,100,0,0,0,False,True,False,353.3203,4.21875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Bizon,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Bizon,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,HE,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Flash,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,100,0,0,0,False,True,False,354.0234,3.867188
