Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,80.50781,10.54688
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,80.50781,10.54688
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1547,560,-59.96875,Knife,100,0,0,0,0,False,False,False,292.1484,0
