Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,HE,100,100,0,0,0,False,True,False,236.25,13.35938
