Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,85.42969,26.01563
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,85.42969,26.01563
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.0547,0
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.0547,0
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.0547,0
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.0547,0
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.0547,0
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.0547,0
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.4063,4.21875
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,270.7031,10.89844
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,270.3516,15.11719
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,270.7031,16.875
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.0547,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,18.28125
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,18.28125
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,18.28125
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,18.28125
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,18.28125
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,18.28125
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.92969
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,17.57813
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.4063,15.82031
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.4063,15.46875
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,16.52344
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,272.4609,18.63281
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,272.8125,19.33594
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,272.4609,18.98438
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,272.4609,18.63281
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,272.1094,18.63281
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.0547,16.52344
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,268.5938,13.71094
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,266.4844,11.25
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.7813,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,265.4297,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,265.7813,10.19531
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,265.7813,10.19531
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,265.7813,10.19531
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,265.7813,10.19531
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,265.4297,10.54688
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,264.7266,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,264.375,9.140625
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,264.0234,9.140625
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,264.0234,8.789063
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,264.0234,8.789063
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,264.0234,8.789063
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,264.0234,9.492188
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,AK47,100,0,0,0,0,False,False,False,263.6719,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,261.9141,9.84375
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,259.8047,10.19531
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,258.75,10.54688
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,257.6953,10.89844
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.9922,11.25
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.2891,11.25
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,255.5859,11.60156
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,255.5859,11.60156
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.2891,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
PnX | CSGOmall.com,CounterTerrorist,2432,2184,124.3104,Knife,100,0,0,0,0,False,False,False,256.6406,11.95313
