Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Smoke,100,100,0,0,0,False,True,False,302.3438,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.703125
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.703125
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.703125
[R] NillE ;-),Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,302.3438,0.703125
[R] NillE ;-),Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,302.3438,0.703125
[R] NillE ;-),Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,301.9922,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Flash,100,100,0,0,0,False,True,False,301.9922,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Flash,100,100,0,0,0,False,True,False,301.9922,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Flash,100,100,0,0,0,False,True,False,301.9922,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Flash,100,100,0,0,0,False,True,False,301.9922,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Flash,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Flash,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,302.3438,0.3515625
