Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,240.1172,9.140625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,240.1172,9.140625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,240.1172,9.140625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,292.1484,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,291.7969,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,290.3906,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,288.2813,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,287.5781,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,287.5781,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,287.5781,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,287.5781,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,287.5781,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.875,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.1719,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,0.3515625
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,285.8203,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.1719,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.1719,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.1719,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.5234,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.5234,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.5234,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.5234,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.5234,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.5234,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,286.5234,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,281.25,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,268.5938,0.703125
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,257.3438,359.6484
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,251.0156,359.6484
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,250.6641,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,250.6641,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,250.6641,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,252.4219,0
PnX | CSGOmall.com,Terrorist,-1542,471,-63.96877,Bomb,100,0,0,0,0,False,False,False,267.1875,0.3515625
