Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,269.2969,5.976563
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,269.2969,5.976563
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,269.2969,5.976563
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,268.9453,6.328125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,268.2422,6.679688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,267.8906,6.679688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,267.8906,6.679688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,267.1875,7.03125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,264.375,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,260.1563,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,256.6406,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,HE,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,254.1797,7.382813
