Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,178.5938,24.60938
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,178.2422,20.74219
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,33.04688,358.2422
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,34.45313,355.7813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,36.21094,354.0234
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,40.07813,352.6172
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,47.8125,352.9688
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,52.73437,354.7266
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,56.95313,357.1875
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,54.84375,358.9453
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,34.10156,0.3515625
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,0,1.054688
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,335.0391,0.703125
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,324.4922,1.40625
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
PnX | CSGOmall.com,Terrorist,-1703,417,-63.96875,USP,100,91,0,0,0,False,False,False,323.0859,1.757813
