Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.9766,4.921875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.9766,4.921875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.9766,4.570313
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.625,4.570313
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.625,4.570313
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.9219,4.21875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.5703,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,3.867188
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,273.8672,3.515625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,273.8672,3.164063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,2.8125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,2.8125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,2.8125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,2.8125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,2.8125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,2.8125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,2.8125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,3.164063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,274.2188,3.515625
