Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-275.7634,911.9943,3.091362,AK47,100,0,30.51219,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-274.6068,911.9943,3.370354,AK47,100,0,5.199688,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-274.5882,911.9943,3.370354,AK47,100,0,0,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-274.5882,911.9943,3.370354,AK47,100,0,0,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-274.5882,911.9943,3.370354,AK47,100,0,0,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-274.5882,911.9943,3.370354,AK47,100,0,0,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-274.5882,911.9943,3.370354,AK47,100,0,0,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-274.5882,911.9943,3.370354,AK47,100,0,0,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-274.5882,911.9943,3.370354,AK47,100,0,0,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-273.7571,911.9823,3.592949,AK47,100,0,33.56839,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-269.9594,911.9823,4.542366,AK47,100,0,81.8912,0,0,False,False,False,334.6875,356.4844
PnX | CSGOmall.com,Terrorist,-264.3054,911.9823,5.955872,AK47,100,0,118.1306,0,0,False,False,False,334.6875,356.8359
PnX | CSGOmall.com,Terrorist,-254.5869,911.9823,8.38549,AK47,100,0,152.5459,0,0,False,False,False,334.3359,356.8359
PnX | CSGOmall.com,Terrorist,-245.6055,911.9823,10.63085,AK47,100,0,172.2483,0,0,False,False,False,334.3359,356.8359
PnX | CSGOmall.com,Terrorist,-234.216,911.9823,13.47821,AK47,100,0,189.2676,0,0,False,False,False,333.9844,356.8359
PnX | CSGOmall.com,Terrorist,-220.8499,911.9823,16.81976,AK47,100,0,181.7856,0,0,False,False,False,332.9297,357.1875
PnX | CSGOmall.com,Terrorist,-211.4167,911.9823,19.17805,AK47,100,0,166.1493,0,0,False,False,False,332.5781,357.1875
PnX | CSGOmall.com,Terrorist,-201.0293,911.9823,21.77489,AK47,100,0,120.7598,0,0,False,False,False,332.5781,357.5391
PnX | CSGOmall.com,Terrorist,-195.8313,911.9823,23.07439,AK47,100,0,79.45273,0,0,False,False,False,332.5781,357.5391
PnX | CSGOmall.com,Terrorist,-191.845,911.9823,24.07096,AK47,100,0,38.62032,0,0,False,False,False,332.5781,357.5391
PnX | CSGOmall.com,Terrorist,-190.502,911.9823,24.40672,AK47,100,0,11.00579,0,0,False,False,False,332.5781,357.5391
PnX | CSGOmall.com,Terrorist,-190.3759,911.9823,24.42272,AK47,100,0,0,0,0,False,False,False,332.5781,357.5391
PnX | CSGOmall.com,Terrorist,-190.3759,911.9823,24.42272,AK47,100,0,0,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-190.3759,911.9823,24.42272,AK47,100,0,0,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-189.8836,911.9823,24.56131,AK47,100,0,13.64266,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-187.9017,911.9823,25.0568,AK47,100,0,52.37101,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-182.9183,911.9823,26.30264,AK47,100,0,100.0425,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-175.3175,911.9823,28.20284,AK47,100,0,136.7567,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-165.7771,911.9823,30.58794,AK47,100,0,163.8013,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-156.1923,911.9823,32.98415,AK47,100,0,134.6575,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-149.2058,911.9954,34.73078,AK47,100,0,111.7874,0,0,False,False,False,332.2266,357.5391
PnX | CSGOmall.com,Terrorist,-142.2191,911.9954,36.47745,AK47,100,0,111.7876,0,0,False,False,False,332.2266,357.8906
PnX | CSGOmall.com,Terrorist,-136.1057,911.9954,38.00579,AK47,100,0,111.7878,0,0,False,False,False,332.2266,357.8906
PnX | CSGOmall.com,Terrorist,-128.2457,911.9954,39.9708,AK47,100,0,111.7879,0,0,False,False,False,331.875,357.8906
PnX | CSGOmall.com,Terrorist,-122.1323,911.9954,41.49915,AK47,100,0,111.7881,0,0,False,False,False,331.875,357.8906
PnX | CSGOmall.com,Terrorist,-114.2722,911.9954,43.46418,AK47,100,0,111.7882,0,0,False,False,False,331.875,358.2422
PnX | CSGOmall.com,Terrorist,-107.2854,911.9954,45.21087,AK47,100,0,111.7883,0,0,False,False,False,331.875,358.2422
PnX | CSGOmall.com,Terrorist,-100.2987,911.9954,46.95755,AK47,100,0,111.7884,0,0,False,False,False,331.5234,358.2422
PnX | CSGOmall.com,Terrorist,-94.18522,911.9954,48.48592,AK47,100,0,111.7887,0,0,False,False,False,331.5234,358.5938
PnX | CSGOmall.com,Terrorist,-86.32505,911.9954,50.45096,AK47,100,0,111.7892,0,0,False,False,False,331.1719,358.9453
PnX | CSGOmall.com,Terrorist,-79.33822,911.9954,52.19767,AK47,100,0,111.7896,0,0,False,False,False,330.8203,359.2969
PnX | CSGOmall.com,Terrorist,-73.2247,911.9954,53.72604,AK47,100,0,111.7897,0,0,False,False,False,330.8203,359.2969
PnX | CSGOmall.com,Terrorist,-66.24208,911.9954,55.4717,AK47,100,0,85.65032,0,0,False,False,False,330.8203,359.2969
PnX | CSGOmall.com,Terrorist,-61.72983,911.9954,56.59976,AK47,100,0,62.25756,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-58.62976,911.9954,57.37478,AK47,100,0,39.75756,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.93595,911.9954,57.79823,AK47,100,0,17.25756,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
PnX | CSGOmall.com,Terrorist,-56.59142,911.9954,57.88437,AK47,100,0,0,0,0,False,False,False,330.4688,359.6484
