PathName,NumFrames,Average dead reckoned error distance,Average led reckoned error distance,DeadUpdates,LedUpdates,diffUpdates,,Dead reckoning updates per frame,Led reckoning updates per frame,,,Average dead reckoning prediction error cm,Average led reckoning prediction error cm,Dead reckoning updates per second,Led reckoning updates per second
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Natus Vin_k1ck eSpo.player4.path23.csv,2378,17.33424907,19.33132673,963,472,491,0.490134995,0.404962153,0.198486123,,,33.02174447,36.82617742,24.29772918,11.90916737
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Natus Vin_Pow.player0.path11.csv,3903,15.53553382,15.13816872,1527,647,880,0.423706614,0.39123751,0.165769921,,,29.59519193,28.83821141,23.47425058,9.946195234
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Natus Vin_Pow.player1.path4.csv,1688,18.07584907,17.5008816,834,311,523,0.372901679,0.494075829,0.184241706,,,34.43449248,33.33917946,29.64454976,11.05450237
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Natus Vin_Pow.player4.path26.csv,3145,16.542589,15.87392788,1095,556,539,0.507762557,0.348171701,0.176788553,,,31.51363205,30.23983262,20.89030207,10.6073132
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Natus Vin_Pow.player6.path19.csv,3067,16.61990054,18.04214316,1239,721,518,0.581920904,0.403977828,0.235083143,,,31.66091052,34.37028272,24.23866971,14.10498859
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Pow_Energy eS.player2.path5.csv,1119,6.342708011,6.174630459,139,56,83,0.402877698,0.124218052,0.050044683,,,12.08285876,11.76267102,7.45308311,3.002680965
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Pow_Energy eS.player3.path9.csv,2334,20.14859675,18.56629957,1287,552,735,0.428904429,0.551413882,0.236503856,,,38.3830768,35.36880068,33.0848329,14.19023136
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Pow_Energy eS.player4.path8.csv,1346,14.62215208,14.33788661,483,186,297,0.385093168,0.35884101,0.138187221,,,27.85519971,27.313674,21.53046062,8.291233284
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Pow_Energy eS.player10.path9.csv,2494,17.16201294,17.32423857,1193,544,649,0.455993294,0.478348035,0.218123496,,,32.69363465,33.00267447,28.70088212,13.08740978
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Pow_Energy eS.player11.path12.csv,3161,20.24488927,19.97474301,1769,881,888,0.498021481,0.559633028,0.278709269,,,38.56651406,38.05188543,33.57798165,16.72255615
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Pow_Energy eS.player11.path25.csv,3056,18.73295455,19.02403879,1366,666,700,0.487554905,0.446989529,0.217931937,,,35.68627841,36.2407939,26.81937173,13.07591623
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5060_R1_Pow_Energy eS.player12.path16.csv,3155,18.75352222,18.63048076,1461,936,525,0.640657084,0.463074485,0.296671949,,,35.72545983,35.49106585,27.7844691,17.80031696
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_AlienTech_Team LDLC.player3.path16.csv,3393,12.16469017,14.28304074,878,493,385,0.561503417,0.258768052,0.145299145,,,23.17373478,27.20919262,15.52608311,8.717948718
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_AlienTech_Team LDLC.player4.path13.csv,3024,21.42359247,21.31054029,1664,758,906,0.455528846,0.55026455,0.250661376,,,40.81194366,40.59657926,33.01587302,15.03968254
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_Cloud9CS_Planetkey.player0.path13.csv,3320,13.60923247,13.80898923,1010,737,273,0.72970297,0.304216867,0.221987952,,,25.92558785,26.30612448,18.25301205,13.31927711
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_Cloud9CS_Planetkey.player2.path25.csv,3462,20.48830237,20.84855364,2029,931,1098,0.458846723,0.586077412,0.2689197,,,39.03021602,39.71649468,35.16464471,16.13518198
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_Cloud9CS_Planetkey.player3.path9.csv,853,14.74295494,14.33456137,372,152,220,0.408602151,0.436107855,0.178194607,,,28.08532916,27.30733941,26.16647128,10.69167644
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_Cloud9CS_Planetkey.player4.path23.csv,3546,11.76647996,13.05725185,1040,867,173,0.833653846,0.293288212,0.244500846,,,22.41514433,24.87406478,17.59729272,14.67005076
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_Team LDLC_Cloud9CS.player0.path20.csv,1629,13.83314545,13.66214307,608,252,356,0.414473684,0.373235114,0.154696133,,,26.35214209,26.02638256,22.39410681,9.281767956
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_Team LDLC_Virtual I.player0.path1.csv,1232,11.86750069,10.96500634,401,135,266,0.336658354,0.325487013,0.109577922,,,22.60758882,20.88833708,19.52922078,6.574675325
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_Team LDLC_Virtual I.player3.path2.csv,674,27.90803338,28.02688376,563,265,298,0.470692718,0.835311573,0.393175074,,,53.16480358,53.39121356,50.11869436,23.59050445
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\5061_R1_Team LDLC_Virtual I.player7.path3.csv,806,20.68017343,20.45803465,475,248,227,0.522105263,0.589330025,0.307692308,,,39.39573038,38.97255601,35.35980149,18.46153846
