PathName,NumFrames,Average dead reckoned error distance,DeadUpdates,Average led reckoned error distance,LedUpdates
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3998_R1_1406554410.player7.path14.csv,742,12.2752442388636,190,13.740754785614,140
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3998_R1_1406554410.player9.path20.csv,1448,15.538178677269,532,17.0243020462787,392
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3998_R1_1406554754.player2.path34.csv,1066,11.5508706789688,208,12.9290721491654,143
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3998_R1_1406554754.player4.path22.csv,509,9.43786927418198,100,10.9139602105281,60
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3998_R1_1406554754.player5.path21.csv,974,10.9254711490809,232,12.0577602255654,172
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3998_R1_1406554754.player9.path29.csv,1166,11.7188908636188,277,12.2772313834348,243
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3998_R1_Team Dign_Virtus Pr.player5.path16.csv,1614,12.8270564682008,358,14.8714925119386,278
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3998_R1_Team Dign_Virtus Pr.player7.path11.csv,4631,4.39639414531513,414,4.8986181837722,315
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4000_R1_Epsilon_Berzerk.player6.path27.csv,5495,6.88846763437364,1136,7.98759107271632,786
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4000_R1_Epsilon_Berzerk.player8.path10.csv,2423,15.4143619624188,1249,16.8471442314619,498
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4000_R1_Ninjas in_Berzerk.player1.path31.csv,2158,16.3989039696027,1144,17.1894746865582,436
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4000_R1_Ninjas in_Berzerk.player2.path2.csv,429,21.7568099301891,327,21.6239570025642,119
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4000_R1_Publiclir_Berzerk.player6.path1.csv,462,18.5776605680213,269,19.6244099733725,111
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player0.path13.csv,2862,13.2007795827188,919,17.1197751834702,519
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player1.path24.csv,827,11.1358679252671,324,12.5050133972998,106
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player1.path25.csv,2391,14.9585382866005,832,17.3268585926464,640
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player3.path12.csv,2287,16.6015727773508,975,17.8872337595468,508
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player3.path25.csv,907,15.0961318729736,423,16.3410707337452,126
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player5.path21.csv,1782,13.3548847019803,652,14.908683656986,339
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player5.path25.csv,1395,15.9998574114575,761,17.0184841086077,269
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player7.path8.csv,2551,15.3152650174801,1040,17.2961734484368,535
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_1406398538.player8.path13.csv,3357,16.0216684633476,1510,18.4738168538685,898
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\4001_R1_fnatic_SK Gaming.player1.path24.csv,2423,11.9715334269654,864,13.071598839766,422
