@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-1.171087@1.569402@-0.06559347,@-4.700243@-0.5185229@-0.5895025,@-1.595031@0.9134521@-0.9116319,@-2.347198@-0.4842109@-0.2357798,@-0.2614372@-1.009877@-0.01144747,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0.3352093@0.1093088@0.2131269,@9.26906@-4.336988@-0.7491894,@10.99315@3.420852@-1.293317,@-2.304535@-1.214232@-10.53652,@2.609141@-11.74922@-6.461655,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@2.761969@-2.926925@-0.1828637,@20.82779@-5.931829@-0.8448062,@69.07388@-6.105347@-0.272594,@77.58318@-5.206128@0.7118894,@82.37215@-2.251874@1.623449,@79.61893@-1.145189@1.683064,@77.46952@-0.662168@-1.957621,@79.02219@1.118326@-2.078626,@59.16315@8.759861@-1.106898,@76.29283@13.27167@0.6483858,@58.87233@-4.580092@1.638263,@37.94072@-20.34585@0.8719668,@28.87046@11.07414@0.07030698,@33.44436@11.5174@-1.613535,@1.422141@0.2450984@0.01400407,@8.099235@-5.011167@-0.5468118,@44.90659@-6.494934@0.1139394,@37.76353@-0.06684645@-0.7450203,@27.56009@0.9645167@-0.3914349,@23.96812@2.872213@1.159718,@4.082926@1.036352@-0.4132651,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0.5391483@-0.3835239@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@3.752346@-17.51277@-0.6285462,@29.74696@-34.37175@-0.05404341,@84.96049@0.1497659@0.1608503,@85.78368@2.04737@5.597094,@87.02341@0.1170236@12.3889,@93.12841@-4.023891@4.242355,@86.41273@-8.966495@-3.1362,@76.51137@-9.507733@-7.926353,@60.45177@-10.45792@-6.588982,@59.5719@-2.339319@-2.516498,@37.52246@1.606454@2.131145,@30.75425@-1.534522@6.294998,@36.70591@-10.5747@4.073636,@51.46983@-8.575365@-1.031506,@55.51945@-9.279505@-1.369911,@66.72236@-8.634111@-0.1528643,@59.82752@-3.330427@2.978384,@39.98413@6.964521@1.127209,@31.61993@9.358957@-0.00602379,@34.91787@26.22937@1.586557,@-6.631358@19.7906@-0.9857957,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-1.593561@-1.530489@-0.5950867,@-2.561539@-2.202972@-3.185458,@0.3312286@-5.347784@-0.3198929,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@3.622162@-25.69079@-2.74309,@9.180735@-32.81248@-4.560061,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@2.395697@-12.32236@0.09402113,@14.01392@-13.4954@0.6490881,@22.5753@-43.04955@0.2061582,@32.50163@-61.84821@-12.74265,@16.58834@-47.8322@-20.45141,@-0.7876562@0.4863368@-1.197319,@13.90104@2.757451@1.300453,@44.9453@9.79253@2.217093,@55.25655@4.523065@-3.065361,@28.2569@49.21033@3.284103,@8.857884@24.37613@1.086863,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-0.02400864@0.4724355@-0.1853133,@-4.674755@-31.35439@-2.277031,@11.28559@-34.45757@3.687398,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@6.031239@-66.62498@-10.57643,@14.80534@-78.38522@-17.23112,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@1.195549@-21.11476@-0.1919743,@10.65064@-16.19132@-1.098938,@15.68188@-53.37619@1.635062,@8.996552@-76.22418@7.804029,@2.771759@-8.540882@-16.94091,@0.8371633@-1.335862@-0.783007,@-0.1086921@0.08298747@0.5406157,@2.996592@-1.890875@1.904693,@0.8113295@1.442758@-2.432749,@-1.583027@49.68798@2.682731,@6.184024@40.33386@1.526173,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@2.433039@-0.2058765@-2.712003,@13.09148@-0.3422342@-7.487454,@1.639514@0.2955016@-1.569613,@-0.9791757@0.2313024@-1.520539,@-10.21874@-0.3140428@-0.9242929,@-4.025602@-0.1997289@0.08981882,@-3.254643@0.08644386@0.301048,@-9.680057@0.09321099@-1.138354,@-6.695704@-0.5241091@-0.4850256,@2.372991@-0.3131024@-0.8947523,@0@0@0,@0@0@0,@0@0@0,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-1.960591@-1.31915@-6.01557,@-39.60648@-32.32211@2.673802,@-54.23105@-22.57525@3.539548,@-20.77852@-2.928393@-0.8114935,@-8.607037@-9.786733@0.9239568,@1.728577@-1.541709@-0.03791307,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@20.36211@-80.46467@-6.256412,@3.60401@-78.1377@-11.46008,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-2.181492@-9.885686@-0.4852708,@-19.16275@-15.38235@-0.9786834,@-1.910472@-55.22874@0.7724138,@8.264978@-85.17007@51.38767,@0.6123241@5.653486@13.71096,@-3.923599@0.5928243@-0.4271587,@0.1885405@-5.960752@-0.1098127,@-2.760146@-2.35998@1.658473,@-0.7245355@1.206362@-1.357199,@-4.473752@30.32634@1.315938,@-1.299094@21.95323@0.9629326,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@4.556331@-9.235684@-23.17371,@13.64683@1.121655@-7.67966,@7.444993@4.491617@-4.183535,@10.60875@1.27771@-3.171981,@9.616704@-1.027296@-1.499642,@7.525485@0.7493615@-0.3156268,@3.982679@0.6538043@0.2326033,@1.834256@-0.7676226@-0.4024719,@0.2117247@-2.483669@-0.2748401,@-1.316955@1.115494@-1.857844,@2.063382@-2.870162@-1.264126,@5.522458@-0.1386174@-0.8441107,@0.1262068@0.03988517@0.3883993,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-25.97853@14.87873@0,@-70.86291@-20.75975@0,@-28.682@-8.007189@-15.02056,@4.530732@-8.477613@4.463569,@-4.321803@17.64133@2.871078,@-6.106642@-5.356012@-4.271721,@-1.142822@-16.71459@-18.92409,@2.296934@-3.142505@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-0.1849906@-9.107136@-5.803571,@-6.193587@12.92317@-3.110068,@-54.00578@10.06818@6.937518,@-49.57111@-8.308483@3.116116,@15.42795@-20.88986@-2.967093,@103.8818@-30.21082@-1.920467,@118.19@-9.442601@0.03200783,@131.7121@-2.928102@-1.298041,@128.6604@-1.273414@3.252671,@123.8408@-0.732519@9.256443,@126.599@0.6028829@2.986248,@118.695@0.7577468@17.15415,@118.6716@-1.629142@24.19533,@118.6629@-4.649507@9.187828,@114.0333@-8.292505@1.869678,@102.3636@-26.18328@2.794287,@35.80474@-46.74299@5.392072,@-3.579687@-89.33214@10.9325,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-0.3266895@-0.3309776@-0.03057781,@-14.95779@1.064523@-1.724064,@-5.532242@-58.42137@-4.153177,@0.5417255@-83.24289@19.60769,@-8.976831@-31.43521@1.525503,@-3.237993@1.132637@-0.3593938,@-4.99833@-8.095399@-0.1581263,@0.1293289@0.5426522@-0.1249673,@0.3117052@-0.4279372@0.1061657,@-3.822018@29.83566@0.7340806,@0.5929625@23.93541@1.545409,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@3.028641@-25.15631@-82.13874,@14.57653@-4.136105@-63.37276,@27.37911@6.707649@-31.42929,@15.01274@4.139919@-9.293402,@28.66686@9.046729@-5.772584,@23.32774@8.044678@-5.596628,@15.85309@10.01658@-4.228485,@12.70581@3.44634@-4.208063,@6.219657@-0.09120505@-5.42379,@2.101573@-0.5163385@-3.033066,@2.591105@-6.079826@-7.315813,@-4.295421@0.05001269@-9.883556,@-0.02521667@-3.546944@1.273405,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@6.883538@17.40847@0,@-3.479841@1.355952@-1.095493,@-5.571869@-34.06448@-13.80874,@15.99243@-40.06315@-15.28377,@-31.42051@51.3863@-17.49154,@34.9195@-100.3236@-3.267181,@112.4433@-52.46979@-50.87774,@4.868082@-50.14138@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-3.641695@4.113685@0,@-4.135555@4.342534@-0.7735273,@52.978@-30.89497@-0.07644831,@134.5252@-80.88413@0.2757765,@142.6531@-60.98462@-3.445523,@123.9937@-43.31184@-2.934852,@28.54643@1.71981@-6.063321,@24.18478@-2.199762@-2.1595,@42.79684@8.826711@4.985312,@51.31237@4.030458@4.843831,@65.35609@4.84621@0.4878562,@64.33405@3.866813@12.218,@76.67344@1.188908@21.21979,@61.73096@-0.9598755@16.40644,@42.49118@-6.661853@9.579891,@15.79963@2.372402@-0.6548977,@-7.761531@-21.14541@2.304438,@-3.804965@-114.0864@28.65357,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-1.936548@-67.37552@-7.111442,@4.923106@-84.94776@-6.2055,@-2.736621@-49.2225@-1.259256,@-1.092795@2.307126@-0.003133253,@-5.730421@-8.042167@0.8612542,@-0.4482518@-4.60981@0.9388949,@0.07015689@0.2123727@-0.2016483,@3.15749@20.84716@0.6522675,@3.806436@38.94563@3.90515,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@2.324464@-22.81646@-41.53783,@11.07871@-5.27117@-32.912,@20.42804@-10.20778@-73.5042,@33.74567@19.58357@-31.22809,@26.64733@33.01314@-8.161272,@-8.166229@15.69304@-5.825628,@-7.144463@4.484856@6.546455,@4.88111@-3.236212@6.736796,@6.144691@4.538659@1.073842,@2.914659@-6.399708@4.410389,@11.87142@-3.175548@-0.2942807,@11.68828@4.213608@4.397695,@-0.779668@-5.700812@3.035381,@0@0@0,
@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@1.244781@9.117032@0,@28.56555@-40.74178@20.98059,@-19.08603@-88.89923@-6.498347,@-75.45683@-137.2843@-40.86931,@10.72233@87.01231@9.899577,@-30.05131@-147.0651@45.519,@-48.10028@-212.4587@111.9342,@60.11972@-96.92677@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-1.298684@18.44122@0,@4.618831@-12.4562@1.305781,@109.2313@-118.8985@5.716202,@72.9272@-53.65019@0.8421022,@-4.996429@2.734976@-1.462785,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@-7.328879@-5.445527@0.7156072,@8.524935@-106.3093@13.52473,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@0@0@0,@1.910945@-74.18052@-5.209839,@8.702328@-77.66033@-1.618603,@5.516551@-47.01302@-3.011296,@0.266616@3.637588@0.06879482,@-3.732284@-2.617417@0.2172854,@-4.173129@-5.237732@0.5046849,@4.469979@5.438864@0,@6.927928@30.60012@2.402346,@12.29502@31.94514@3.100619,@49.3732@-4.313683@-1.802888,@51.99352@-1.852783@-0.5304223,@50.55145@0.03732959@-0.05285333,@49.85587@0.005626641@-0.5778958,@51.43405@-1.938357@-0.5073892,@48.63567@-0.7307156@-0.5528582,@49.47525@-1.700194@-0.60419,@47.55835@-1.504725@-1.438245,@51.52866@-2.70608@-0.4010468,@43.80941@-0.4746081@0.1353272,@48.4068@-0.01791408@0.1494461,@31.19506@1.58041@-0.257548,@14.23259@5.323055@-0.8531979,@1.171536@0.7574492@-0.4242263,@0@0@0,@0@0@0,@0@0@0,@0.9647914@-7.638839@4.262391,@5.327852@-1.581341@-3.604781,@30.34993@8.585673@-34.7244,@24.42371@3.078323@-19.89748,@31.29696@27.56078@-8.404037,@15.74236@15.84201@-0.4243431,@3.901157@-0.1421887@2.830264,@-5.133559@-4.066514@3.95488,@-6.031027@0.8455284@7.815815,@-1.228692@-2.077832@12.14393,@-4.98444@-8.064843@23.7298,@2.379184@7.644947@-6.972247,@-1.110553@-15.02642@24.61559,@0@0@0,
